file,keyword,voice,speed,source
ryan/114.wav,Ira,unknown,unknown,synthetic
amy/slow/20.wav,Ira,amy,slow,synthetic
amy/slow/1.wav,Ira,amy,slow,synthetic
pilot100/91.wav,Ira,unknown,unknown,synthetic
lessac/normal/7.wav,Ira,lessac,normal,synthetic
amy/fast/2.wav,Ira,amy,fast,synthetic
hfc_female/68.wav,Ira,unknown,unknown,synthetic
lessac/68.wav,Ira,unknown,unknown,synthetic
amy/normal/26.wav,Ira,amy,normal,synthetic
ryan/67.wav,Ira,unknown,unknown,synthetic
pilot100/3.wav,Ira,unknown,unknown,synthetic
hfc_female/89.wav,Ira,unknown,unknown,synthetic
hfc_male/fast/35.wav,Ira,hfc_male,fast,synthetic
lessac/114.wav,Ira,unknown,unknown,synthetic
hfc_female/slow/12.wav,Ira,hfc_female,slow,synthetic
ryan/normal/4.wav,Ira,ryan,normal,synthetic
pilot100/75.wav,Ira,unknown,unknown,synthetic
ryan/normal/51.wav,Ira,ryan,normal,synthetic
hfc_female/41.wav,Ira,unknown,unknown,synthetic
lessac/normal/57.wav,Ira,lessac,normal,synthetic
lessac/103.wav,Ira,unknown,unknown,synthetic
lessac/31.wav,Ira,unknown,unknown,synthetic
amy/45.wav,Ira,unknown,unknown,synthetic
ryan/slow/36.wav,Ira,ryan,slow,synthetic
lessac/4.wav,Ira,unknown,unknown,synthetic
lessac/normal/62.wav,Ira,lessac,normal,synthetic
amy/normal/117.wav,Ira,amy,normal,synthetic
lessac/slow/23.wav,Ira,lessac,slow,synthetic
hfc_male/normal/95.wav,Ira,hfc_male,normal,synthetic
hfc_male/111.wav,Ira,unknown,unknown,synthetic
hfc_male/fast/15.wav,Ira,hfc_male,fast,synthetic
amy/fast/20.wav,Ira,amy,fast,synthetic
amy/fast/14.wav,Ira,amy,fast,synthetic
test/7.wav,Ira,unknown,unknown,synthetic
lessac/normal/83.wav,Ira,lessac,normal,synthetic
hfc_male/fast/1.wav,Ira,hfc_male,fast,synthetic
ryan/79.wav,Ira,unknown,unknown,synthetic
lessac/fast/35.wav,Ira,lessac,fast,synthetic
amy/fast/24.wav,Ira,amy,fast,synthetic
hfc_male/slow/3.wav,Ira,hfc_male,slow,synthetic
hfc_male/normal/78.wav,Ira,hfc_male,normal,synthetic
lessac/1.wav,Ira,unknown,unknown,synthetic
lessac/110.wav,Ira,unknown,unknown,synthetic
hfc_male/normal/101.wav,Ira,hfc_male,normal,synthetic
hfc_male/slow/9.wav,Ira,hfc_male,slow,synthetic
hfc_female/normal/8.wav,Ira,hfc_female,normal,synthetic
lessac/normal/49.wav,Ira,lessac,normal,synthetic
lessac/115.wav,Ira,unknown,unknown,synthetic
hfc_male/normal/89.wav,Ira,hfc_male,normal,synthetic
hfc_female/normal/10.wav,Ira,hfc_female,normal,synthetic
ryan/fast/39.wav,Ira,ryan,fast,synthetic
lessac/113.wav,Ira,unknown,unknown,synthetic
lessac/8.wav,Ira,unknown,unknown,synthetic
amy/normal/45.wav,Ira,amy,normal,synthetic
hfc_male/109.wav,Ira,unknown,unknown,synthetic
lessac/normal/34.wav,Ira,lessac,normal,synthetic
hfc_male/76.wav,Ira,unknown,unknown,synthetic
amy/73.wav,Ira,unknown,unknown,synthetic
amy/fast/30.wav,Ira,amy,fast,synthetic
ryan/29.wav,Ira,unknown,unknown,synthetic
hfc_female/normal/93.wav,Ira,hfc_female,normal,synthetic
lessac/86.wav,Ira,unknown,unknown,synthetic
amy/slow/33.wav,Ira,amy,slow,synthetic
amy/slow/24.wav,Ira,amy,slow,synthetic
amy/106.wav,Ira,unknown,unknown,synthetic
amy/31.wav,Ira,unknown,unknown,synthetic
hfc_male/normal/39.wav,Ira,hfc_male,normal,synthetic
amy/normal/65.wav,Ira,amy,normal,synthetic
hfc_female/88.wav,Ira,unknown,unknown,synthetic
lessac/normal/86.wav,Ira,lessac,normal,synthetic
amy/normal/80.wav,Ira,amy,normal,synthetic
pilot100/56.wav,Ira,unknown,unknown,synthetic
amy/8.wav,Ira,unknown,unknown,synthetic
hfc_female/normal/30.wav,Ira,hfc_female,normal,synthetic
