epoch,loss,val_loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,learning_rate
1,0.5306562185287476,0.3498443365097046,0.7200677990913391,0.8504043221473694,0.7454164028167725,0.847048282623291,0.6684237122535706,0.9488977789878845,0.0010000000474974513
2,0.34075820446014404,0.3062967360019684,0.8662148714065552,0.8780323266983032,0.8755469918251038,0.9341126680374146,0.8537901639938354,0.8807615041732788,0.0010000000474974513
3,0.31315186619758606,0.25573334097862244,0.8810241222381592,0.89420485496521,0.8886328935623169,0.9159248471260071,0.8712349534034729,0.9278557300567627,0.0010000000474974513
4,0.2840331494808197,0.30568093061447144,0.8918172717094421,0.8739892244338989,0.9000512361526489,0.9720605611801147,0.8815261125564575,0.8366733193397522,0.0010000000474974513
5,0.2663443684577942,0.26591747999191284,0.9009789228439331,0.8908355832099915,0.9069026708602905,0.9634146094322205,0.8936998248100281,0.8707414865493774,0.0010000000474974513
6,0.2515770494937897,0.2705279290676117,0.9055597186088562,0.8908355832099915,0.9131824374198914,0.9686098694801331,0.8963353633880615,0.8657314777374268,0.0010000000474974513
7,0.2525475025177002,0.22414630651474,0.9059362411499023,0.9036388397216797,0.9111478328704834,0.9543039202690125,0.8995984196662903,0.8997995853424072,0.0010000000474974513
8,0.2323290854692459,0.22448138892650604,0.9147213697433472,0.9097034931182861,0.9213311076164246,0.970588207244873,0.9068775177001953,0.8927855491638184,0.0010000000474974513
9,0.23751430213451385,0.2531079351902008,0.9111445546150208,0.900943398475647,0.9138453602790833,0.9680967926979065,0.907881498336792,0.8817635178565979,0.0010000000474974513
10,0.2309315949678421,0.22271089255809784,0.9107680916786194,0.9130727648735046,0.9147237539291382,0.9811738729476929,0.9059990048408508,0.8877755403518677,0.0010000000474974513
11,0.21376095712184906,0.18768952786922455,0.9188629388809204,0.9265498518943787,0.9230574369430542,0.9422885775566101,0.9139056205749512,0.9488977789878845,0.0010000000474974513
12,0.2084130346775055,0.3938293755054474,0.9236947894096375,0.8477088809013367,0.9286440014839172,0.9974226951599121,0.9179216623306274,0.7755510807037354,0.0010000000474974513
13,0.20538291335105896,0.17202237248420715,0.921875,0.9204851984977722,0.922776997089386,0.9263566136360168,0.9208082556724548,0.9579158425331116,0.0010000000474974513
14,0.1986771821975708,0.19552107155323029,0.9246987700462341,0.9305930137634277,0.9240601658821106,0.9599177837371826,0.9254518151283264,0.9358717203140259,0.0010000000474974513
15,0.2079394906759262,0.16992147266864777,0.9225652813911438,0.9285714030265808,0.9214017391204834,0.9514170289039612,0.9239457845687866,0.9418837428092957,0.0010000000474974513
16,0.1865961104631424,0.19924035668373108,0.9287148714065552,0.9225067496299744,0.9295774698257446,0.9825136661529541,0.9277108311653137,0.9008015990257263,0.0010000000474974513
17,0.19072847068309784,0.17070606350898743,0.9275853633880615,0.9285714030265808,0.9278001189231873,0.9514170289039612,0.9273343086242676,0.9418837428092957,0.0010000000474974513
18,0.17760424315929413,0.1553058922290802,0.9342997074127197,0.9339622855186462,0.9353377819061279,0.9545454382896423,0.9331074357032776,0.9468938112258911,0.0010000000474974513
19,0.178628608584404,0.26898252964019775,0.9339859485626221,0.89420485496521,0.9344221353530884,0.997633159160614,0.9334839582443237,0.8446893692016602,0.0010000000474974513
20,0.164483442902565,0.14488692581653595,0.940072774887085,0.934636116027832,0.9439169764518738,0.9455984234809875,0.935742974281311,0.9579158425331116,0.0010000000474974513
21,0.1697053462266922,0.15335066616535187,0.9374372363090515,0.9380053877830505,0.9384828209877014,0.9585019946098328,0.9362449645996094,0.9488977789878845,0.0010000000474974513
22,0.16475185751914978,0.1461801677942276,0.9393197894096375,0.941374659538269,0.9409245252609253,0.969103991985321,0.9375,0.9428857564926147,0.0010000000474974513
23,0.14890500903129578,0.20421823859214783,0.9474146366119385,0.9238544702529907,0.9493319988250732,0.9911209940910339,0.9452811479568481,0.8947895765304565,0.0010000000474974513
24,0.15453070402145386,0.13811033964157104,0.9433358311653137,0.9487870335578918,0.94294673204422,0.9694501161575317,0.9437751173973083,0.9539077877998352,0.0010000000474974513
25,0.15760813653469086,0.1374499499797821,0.9442143440246582,0.9447439312934875,0.9457247257232666,0.9721649289131165,0.9425200819969177,0.9448897838592529,0.0010000000474974513
26,0.14013519883155823,0.1458265781402588,0.9508032202720642,0.9400269389152527,0.9527350664138794,0.9850587248802185,0.9486696720123291,0.9248496890068054,0.0010000000474974513
27,0.13891655206680298,0.1717999130487442,0.9490461945533752,0.9433962106704712,0.9507432579994202,0.9851379990577698,0.9471636414527893,0.9298596978187561,0.0010000000474974513
28,0.1410737931728363,0.16556046903133392,0.948293149471283,0.9440701007843018,0.949421226978302,0.9770594239234924,0.9470381736755371,0.9388777613639832,0.0010000000474974513
29,0.1378697007894516,0.16350135207176208,0.9517444968223572,0.9407008290290833,0.9514611959457397,0.9861111044883728,0.9520582556724548,0.9248496890068054,0.0010000000474974513
30,0.13680391013622284,0.12471700459718704,0.9524347186088562,0.9508086442947388,0.9541445970535278,0.965760350227356,0.950552225112915,0.9609218239784241,0.0010000000474974513
